"","School.Name","County.x","Urban.Rural","Classification","X19.21.Difference.in.Math","X19.21.Difference.in.English","All.Students.English.Achievement","All.Students.Math.Achievement","X2021.All.Students.English.Achievement","X2021.All.Students.Math.Achievement","American.Indian.Alaskan.English.Achievement","American.Indian.Alaskan.Math.Achievement","Asian.Pacific.Islander.English.Achievement","Asian.Pacific.Islander.Math.Achievement","Black.English.Achievement","Black.Math.Achievement","Economically.Disadvantaged.English.Achievement","Economically.Disadvantaged.Math.Achievement","Hispanic.English.Achievement","Hispanic.Math.Achievement","White.English.Achievement","White.Math.Achievement","Students.With.Disability.English.Achievement","Students.With.Disability.Math.Achievement","X2021.American.Indian.Alaskan.English.Achievement","X2021.American.Indian.Alaskan.Math.Achievement","X2021.Asian.Pacific.Islander.English.Achievement","X2021.Asian.Pacific.Islander.Math.Achievement","X2021.Black.English.Achievement","X2021.Black.Math.Achievement","X2021.Economically.Disadvantaged.English.Achievement","X2021.Economically.Disadvantaged.Math.Achievement","X2021.Hispanic.English.Achievement","X2021.Hispanic.Math.Achievement","X2021.White.English.Achievement","X2021.White.Math.Achievement","X2021.Students.With.Disability.English.Achievement","X2021.Students.With.Disability.Math.Achievement","County.y","BS","MS","S","phd","Total","Post.Grad.Percentage","Total.Students.Enrolled","Teacher.Student.Ratio","White.Percentage","Black.Percentage","Econ.Disadvantaged.Percentage","County","Avg..Annual.Salaries.Administrators","Avg..Annual.Salaries.Teachers","Avg..Annual.Salaries.Support.Personnel","Absent...5D.Percentage","Absent.6D.15D.Percentage","Absent..15D.Percentage","id","amount","school_ppe_21","direct_cert_perc","mobility","ENROLL_PCT_GIFTED","u.r_dummy","growth.rate.math"
"635","Five Forks Middle School","Gwinnett County","Urban","M",-20.22,-15.2,93.08,100,77.88,79.78,0,0,100,100,84.38,89.31,79.15,88.6,78.14,89.94,97.37,100,38.81,49.3,0,0,96.06,0,74.47,72.51,66.13,67.45,59.58,61.75,81.97,83.79,33.34,36.42,"Gwinnett County",24,35,13,2,74,0.675675675675676,1291,17.4459459459459,28.8,27,38,"Gwinnett County",97223.72,63583.96,73560.46,88.5,9.5,1.9,1,9418705.79,9235.7001953125,13.8999996185303,7.4,27.2,1,-20.22
"636","Flat Rock Elementary School","DeKalb County","Urban","E",-20.56,-22.1,40.85,34.32,18.75,13.76,0,0,0,0,39.94,33.45,40.85,34.32,0,0,0,0,9.21,6.58,0,0,0,0,18.92,13.76,18.75,13.76,0,0,0,0,0,0,"DeKalb County",25,29,4,3,61,0.59016393442623,1007,16.5081967213115,0.8,92.6,100,"DeKalb County",95933.81,61472.89,70294.04,50.9,24.5,24.5,1,7812536.11,12357.1396484375,69.6999969482422,20.8,1.9,1,-20.56
"637","Flat Rock Middle School","Fayette County","Urban","M",-16.48,-6.58000000000001,82.65,81.07,76.07,64.59,0,0,100,100,83.5,77.45,70.43,69.95,69.55,73.86,90.48,92.8,35.38,39.63,0,0,0,71.88,76.1,63.37,63.23,53.89,62.01,54.31,86.56,78.81,26.24,30,"Fayette County",13,25,19,2,59,0.779661016949153,909,15.406779661017,15.8,57.6,41.7,"Fayette County",87620.33,68401.94,76635.87,60.1,30.5,9.5,1,8388617.76,12010,22.6000003814697,11.6,14.1,1,-16.48
"638","Flat Shoals Elementary School","DeKalb County","Urban","E",-24.46,-15.67,66,58.24,50.33,33.78,0,0,0,0,67.86,58.31,61.73,55.21,45.72,51.38,0,0,23.68,24.07,0,0,0,0,51.85,34.07,43.86,32.71,0,0,0,0,0,0,"DeKalb County",29,35,18,5,87,0.666666666666667,725,8.33333333333333,3,79.7,62.3,"DeKalb County",202221.38,124804.31,130489.75,35.2,30.6,34.2,1,4878376.79,14258.6396484375,81.3000030517578,22.3,0.4,1,-24.46
"639","Flint Hill Elementary","Newton County","Urban","E",-19.56,-18.16,47.97,51.45,29.81,31.89,0,0,0,0,38.84,39.1,44.1,46.6,45.24,58.33,59.57,64.02,31.25,30.48,0,0,0,0,24.62,21.16,26.4,27.23,22.73,36.36,37.18,43.51,21.06,26.32,"Newton County",24,32,11,2,69,0.652173913043478,842,12.2028985507246,30.6,53.6,81.6,"Newton County",100051,60269.74,61936.5,32.9,31.6,35.5,1,8486195.34,13524.26953125,58.2000007629395,21.9,5.9,1,-19.56
"640","Flippen Elementary School","Henry County","Urban","E",-23.53,-11.9,56.8,59.88,44.9,36.35,0,0,76.32,100,54.03,54.6,47.17,50.32,65.28,69.46,50.01,52.51,23.92,23.91,0,0,0,0,45.31,36.22,34,27.03,43.76,29.17,40,39.66,19.64,21.43,"Henry County",18,18,3,2,41,0.560975609756098,607,14.8048780487805,16.1,60.3,42.2,"Henry County",83538.22,56900.26,65979.46,62.4,27.7,9.9,1,5831935.71,11490.58984375,32.2000007629395,15.9,11.3,1,-23.53
"641","Flowery Branch Elementary School","Hall County","Urban","E",-13.24,-14.65,59.71,61.18,45.06,47.94,0,0,0,0,49.99,52.71,48.83,49.62,47.06,46.32,67.42,69.94,15.28,27.78,0,0,0,0,26.09,19.57,33.33,35.13,25.84,34.16,55.34,57.01,19.33,22.1,"Hall County",22,10,5,0,37,0.405405405405405,606,16.3783783783784,55.3,10.1,42.6,"Hall County",95771.5,56299.29,71468,51,38,11.1,1,4156199.46,9560.2197265625,24.8999996185303,20.9,6,1,-13.24
"642","Flowery Branch High","Hall County","Urban","H",-33.08,-14.38,82.55,74.48,68.17,41.4,0,0,63.06,0,57.91,53.34,68.07,57.97,69.64,61.72,90.37,83.39,43.22,27.28,0,0,0,0,0,30,51.67,43.24,47.66,36.21,77.4,45.49,15.79,14.77,"Hall County",26,24,25,1,76,0.657894736842105,1381,18.171052631579,60.9,6.7,26.7,"Hall County",103143.25,63454.26,72263.08,32.4,34.2,33.4,1,9151060.22,8629.7998046875,12,8.7,14.4,1,-33.08
"643","Floyd L. Shelton Elementary School at Crossroad","Paulding County","Urban","E",-8.19,-19.79,91.05,91.37,71.26,83.18,0,0,100,100,69.5,75,66.52,77.83,81.26,75.79,97.38,97.49,50.69,59.6,0,0,75.01,91.67,55.61,65.17,55.7,69.3,71.95,82.92,76.1,89.15,40.16,46.98,"Paulding County",26,34,17,0,77,0.662337662337662,1273,16.5324675324675,63.2,19.9,21.8,"Paulding County",95019.48,66240.04,66939.57,63,32.1,4.9,1,9242222.14,9281.7197265625,9.30000019073486,7.4,10.2,1,-8.19
"644","Floyd Middle School","Cobb County","Urban","M",-19.06,-13.08,54.24,54.41,41.16,35.35,0,0,0,0,54.65,51.68,49.53,50.61,49.47,53.28,75,72.16,36.76,37.35,0,0,0,0,39.4,34.23,41.14,35.44,39.64,33.07,41.94,39.66,50.66,35.34,"Cobb County",19,31,11,2,63,0.698412698412698,1041,16.5238095238095,8.2,43.2,99.9,"Cobb County",108523.19,66477.15,76872.13,54.1,24,21.9,1,8550017.7,10637.23046875,37.5,16.3,6.6,1,-19.06
"645","Folkston Elementary School","Charlton County","Rural","E",-11.64,-11.31,75,81,63.69,69.36,0,0,0,0,69.24,71.81,69.42,77.63,0,0,77,86,0,0,0,0,0,0,48.64,55.56,63.69,69.36,0,0,71.16,75.49,33.34,56.25,"Charlton County",18,10,5,1,34,0.470588235294118,447,13.1470588235294,59.7,31.3,100,"Charlton County",90340.11,52915.81,53047.37,47.9,34.2,17.9,1,3393758.23,10701.3798828125,44.5999984741211,19.2,2.7,0,-11.64
"646","Ford Elementary School","Cobb County","Urban","E",-14.98,-13.58,99.3,100,85.72,85.02,0,0,100,100,88.46,92.32,71.16,78.85,83.94,82.15,100,100,52.69,57.15,0,0,96.16,88,83.82,69.13,85.72,85.02,69.58,61.37,86.83,89.14,54.32,55.18,"Cobb County",26,26,12,1,65,0.6,835,12.8461538461538,73.4,10.5,100,"Cobb County",99245.01,67150.84,69255.32,87.3,11.7,1,1,8319926.05,12163.830078125,2.40000009536743,7.7,17.7,1,-14.98
"647","Forest Park High School","Clayton County","Urban","H",-12.19,-10.96,54.84,30.32,43.88,18.13,0,0,83.34,83.55,44.1,17.52,54.84,30.32,59.23,31.04,62.97,26.32,23.04,9.49,0,0,87.84,0,28.93,10.13,43.88,18.13,43.39,24.66,0,0,20,15.92,"Clayton County",33,34,15,5,87,0.620689655172414,1865,21.4367816091954,2.7,42.8,100,"Clayton County",114659.78,60037.03,67162.27,46.2,17.3,36.5,1,10675861.93,8686.150390625,39.7000007629395,10.6,4.2,1,-12.19
"648","Forest Park Middle School","Clayton County","Urban","M",-19.92,-5.83,35.83,38.85,30,18.93,0,0,0,0,30.15,33.13,35.83,38.85,41.02,42.98,40.39,42.31,11.24,14.79,0,0,0,0,18.97,7.41,30,18.93,36.46,26.14,0,0,0,0,"Clayton County",22,15,3,1,41,0.463414634146341,774,18.8780487804878,3.5,51.9,100,"Clayton County",107909.73,55860.05,67273.74,38,18.5,43.5,1,5402983.18,10462.349609375,58.7999992370605,16.1,2.2,1,-19.92
"649","Forrest Road Elementary School","Muscogee County","Urban","E",-18.38,-18.94,43.09,40.84,24.15,22.46,0,0,0,0,42.81,40.35,43.09,40.84,0,0,0,0,11.12,13.89,0,0,0,0,22.6,20.68,24.15,22.46,0,0,0,0,9.62,5.77,"Muscogee County",13,15,0,0,28,0.535714285714286,327,11.6785714285714,3.7,88.7,100,"Muscogee County",94369,52771.74,70219.08,47.4,35.8,16.8,1,2766481.43,11983.6298828125,67.6999969482422,16.7,NA,1,-18.38
"650","Forsyth Central High School","Forsyth County","Urban","H",-38.68,8.83,90.3,83.05,99.13,44.37,0,0,100,100,92.69,70,69.65,58.79,71.2,62.43,96.62,89.98,47.39,35.82,0,0,0,0,0,40.63,78.41,36.81,86.28,40,0,45,48.39,39.28,"Forsyth County",51,67,35,6,159,0.679245283018868,2644,16.6289308176101,59.4,4.7,24.1,"Forsyth County",93041.44,64037.83,68842.57,44.2,36.4,19.4,1,22903531.24,10146.25,8.69999980926514,5.7,13.7,1,-38.68
"651","Fort Daniel Elementary School","Gwinnett County","Urban","E",-19.43,-16.52,95.72,97.78,79.2,78.35,0,0,100,100,82.2,82.21,82.05,89.34,92.87,89.69,99.14,100,60.92,74.56,0,0,0,0,51.13,51.15,63.02,66.2,67.8,69.31,89.4,86.76,48.94,44.57,"Gwinnett County",20,21,12,0,53,0.622641509433962,707,13.3396226415094,38.3,21.4,35.2,"Gwinnett County",89753.4,67393.63,82291.5,75,21.4,3.7,1,6017500.63,10881.3203125,16.5,14.2,11.3,1,-19.43
"652","Fort Middle School","Muscogee County","Urban","M",-14.59,-14.76,52.67,43.22,37.91,28.63,0,0,0,0,49.9,40.81,52.67,43.22,75.01,66.09,76.67,61.67,25.28,25.28,0,0,0,0,36.63,28.26,37.91,28.63,43.34,31.67,39.47,22.23,20.01,20.67,"Muscogee County",19,16,3,1,39,0.512820512820513,698,17.8974358974359,6.2,79.2,100,"Muscogee County",91060.5,48300.72,69208.5,91.1,7.3,1.6,1,4123190.1,9008.01953125,60.4000015258789,10.4,2.3,1,-14.59
"653","Fort Valley Middle School","Peach County","Urban","M",-15.94,0.029999999999994,37.27,44.94,37.3,29,0,0,0,0,31.2,37.08,37.27,44.94,52.6,63.03,50,65.01,17.71,20.84,0,0,0,0,30.28,22.14,37.3,29,52.31,43.18,45.47,36.96,11.25,11.91,"Peach County",15,9,5,3,32,0.53125,483,15.09375,7.5,68.7,100,"Peach County",89206.5,55755.88,58867.88,34.8,38.3,26.9,1,3929159.14,10250.009765625,60.2000007629395,18.1,5.7,1,-15.94
"654","Fountain Elementary School","Clayton County","Urban","E",-37.09,-22.85,42.18,53.48,19.33,16.39,0,0,0,0,38.84,49.51,42.18,53.48,44.6,56.3,0,0,25.01,36.38,0,0,0,0,20.65,15.21,19.33,16.39,18.46,16.16,0,0,0,0,"Clayton County",21,18,1,2,42,0.5,609,14.5,2.3,54.8,100,"Clayton County",99576.21,54788.52,69087.25,43.3,33.2,23.5,1,4604919.65,10989.33984375,64.9000015258789,20.2,4,1,-37.09
"655","Fourth District Elementary School","Appling County","Rural","E",4.12,-4.78,68.84,81.83,64.06,85.95,0,0,0,0,0,0,68.84,81.83,0,0,75,88.89,0,0,0,0,0,0,0,0,64.06,85.95,0,0,79.17,98.96,0,0,"Appling County",5,4,5,0,14,0.642857142857143,141,10.0714285714286,70.9,7.8,100,"Appling County",91813.16,59117.13,56536.39,34.8,42.6,22.7,1,1613771.11,15562.490234375,36.5,19.8,7.9,0,4.12
"656","Fowler Drive Elementary School","Clarke County","Urban","E",-13.51,-9.22,38.3,40.25,29.08,26.74,0,0,0,0,30.01,29.04,38.3,40.25,47.68,53.5,0,0,26.25,30,0,0,0,0,15.92,18.18,29.08,26.74,34.42,31.18,0,0,36.66,39.99,"Clarke County",23,18,8,2,51,0.549019607843137,413,8.09803921568627,8,38.7,100,"Clarke County",100265.72,54109.86,54990.47,46.7,28.6,24.7,1,5152831.07,16434.83984375,52.2000007629395,18.4,12.6,1,-13.51
"657","Fox Elementary School","Muscogee County","Urban","E",-25.33,-27.31,38.03,36.78,10.72,11.45,0,0,0,0,36.87,36.36,38.03,36.78,0,0,0,0,41.95,33.88,0,0,0,0,11.37,11.37,10.72,11.45,0,0,0,0,0,0,"Muscogee County",11,9,2,0,22,0.5,337,15.3181818181818,12.2,71.8,100,"Muscogee County",95406,55191.15,57610,17.8,37.1,45.1,1,2919877.62,12752.990234375,89,30.9,NA,1,-25.33
"658","Frank Long Elementary School","Liberty County","Urban","E",-20.03,-26.04,67.44,63.63,41.4,43.6,0,0,0,0,59.72,56.94,62.39,58.82,85,76.25,74.48,71.28,29.03,30.65,0,0,0,0,33.81,37.32,41.4,43.6,37.04,36.54,62.19,65.85,31.25,36.25,"Liberty County",21,22,4,0,47,0.553191489361702,802,17.063829787234,17.1,57.2,100,"Liberty County",105730.35,57532.89,76242.1,42.1,31.7,26.2,1,6010622.89000001,10724.5703125,51.7999992370605,31.1,6.9,1,-20.03
"659","Franklin County High School","Franklin County","Rural","H",-16.23,-24.48,74.49,69.28,50.01,53.05,0,0,0,0,47.34,37.23,65.28,61.73,68.07,61.55,78.39,72.47,28.08,19.43,0,0,0,0,21.43,57.5,40.4,52.69,0,42.6,53.94,54.7,20.7,29.42,"Franklin County",22,21,18,1,62,0.645161290322581,1126,18.1612903225806,76.4,8.6,36.1,"Franklin County",94026.31,60974.3,63004.73,17.9,33.7,48.3,1,8006142.47,9514.849609375,25.7000007629395,13.2,8,0,-16.23
"660","Franklin County Middle School","Franklin County","Rural","M",-4.86,-6.15,59.96,61.86,53.81,57,0,0,0,0,45.9,47.26,49.67,53.67,53.9,57.15,62.53,64.54,33.04,33.04,0,0,0,0,29.48,30.13,40.73,44.1,47.27,53.43,57.25,60.85,25.47,30.75,"Franklin County",11,25,21,0,57,0.807017543859649,925,16.2280701754386,75.4,9.3,45.7,"Franklin County",85478,62402.19,65649.18,20.2,38.9,40.9,1,6405399.31,9548.3798828125,34.0999984741211,11.6,7.9,0,-4.86
"661","Franklin Forest Elementary","Troup County","Rural","E",-28.41,-17.64,57.22,80.36,39.58,51.95,0,0,0,0,46.09,70.96,57.22,80.36,54.17,75.01,79.48,98.21,14,36,0,0,0,0,34.83,43.82,39.58,51.95,36.18,55.32,50.86,64.65,10.84,19.17,"Troup County",10,29,13,0,52,0.807692307692308,733,14.0961538461538,21.8,55,100,"Troup County",83664.99,58503.96,65636.3,50.1,36.7,13.2,1,5656700.86,10329.830078125,61.2000007629395,13,7,0,-28.41
"662","Free Home Elementary School","Cherokee County","Urban","E",-13.9,-14.33,73.18,87.75,58.85,73.85,0,0,0,0,0,0,43.77,67.2,41.18,58.82,75.83,90.84,34.16,52.44,0,0,0,0,0,0,28.21,47.44,28.58,45.24,67.72,80.74,22.92,39.59,"Cherokee County",7,16,11,0,34,0.794117647058823,305,8.97058823529412,79.3,3.6,27.5,"Cherokee County",93100.8,66894.97,77702.4,31.8,43.6,24.6,1,3223212.01,13667.51953125,15.1999998092651,10.8,6.5,1,-13.9
"663","Freedom Middle School","Cherokee County","Urban","M",-22.55,-11.47,42.84,41.54,31.37,18.99,0,0,40.18,45.93,44.06,37.75,42.84,41.54,42.1,42.11,51.86,55.55,28,29,0,0,33,23.53,29.13,16.86,31.37,18.99,42.86,13.16,33.33,12.5,33.63,24.56,"Cherokee County",48,53,44,8,153,0.686274509803922,1250,8.16993464052288,3.6,58.2,100,"Cherokee County",206680.99,134623.46,141694.34,45,23.4,31.7,1,8505674.71,10135.669921875,8.69999980926514,7.3,15.2,1,-22.55
"664","Freedom Park Elementary","Richmond County","Urban","E",-11.68,-10.94,74.04,67.63,63.1,55.95,0,0,0,0,65.68,63.44,74.04,67.63,83.35,71.42,77.78,68.52,27.78,33.33,0,0,0,0,58.06,46.78,72.23,47.23,75,75,70,70,25.92,40.74,"Richmond County",23,24,15,0,62,0.629032258064516,760,12.258064516129,38,26.1,14.7,"Richmond County",88495,56681.28,59285.75,74.3,21.7,3.9,1,5389798.04,11627.0302734375,7.5,46.4,3.1,1,-11.68
"665","Freeman Elementary School","Warren County","Rural","E",-12.38,-12.97,44.62,47.47,31.65,35.09,0,0,0,0,43.01,47.9,44.62,47.47,0,0,0,0,26.79,28.58,0,0,0,0,29.59,32.61,31.65,35.09,0,0,0,0,33.34,0,"Warren County",12,9,4,0,25,0.52,323,12.92,12.7,83.6,100,"Warren County",94164.61,52937.03,57220.72,38.1,21.4,40.6,1,2789977.59,11511.33984375,77,18.8,0.7,0,-12.38
"666","Freeman's Mill Elementary School","Gwinnett County","Urban","E",-5.81999999999999,-8.34999999999999,93.8,99.77,85.45,93.95,0,0,95.95,100,84.54,87.13,79.45,85.89,84.94,89.25,100,100,52.61,60.4,0,0,0,0,82.11,87.9,74.17,81.67,70.38,78.13,89.84,0,44.86,61.2,"Gwinnett County",20,32,13,1,66,0.696969696969697,964,14.6060606060606,31.3,27,32.5,"Gwinnett County",99296.59,67451.4,69603,77.2,19.6,3.2,1,8043810.21,10810.4599609375,12.8999996185303,11.4,15.6,1,-5.81999999999999
"667","Frey Elementary School","Cobb County","Urban","E",-14.33,-14.43,88.84,96.11,74.41,81.78,0,0,0,0,82.63,88.89,70.14,72.55,84.29,90.01,90.79,98.12,50.73,56.62,0,0,0,0,66.67,69.65,74.41,81.78,73.53,77.94,78.64,87.32,46.56,58.62,"Cobb County",26,27,10,2,65,0.6,781,12.0153846153846,59.9,18.4,100,"Cobb County",100319.71,68339.84,68759.39,80.7,15.6,3.7,1,8208848.44,13041.759765625,8.19999980926514,9.7,11.5,1,-14.33
"668","Friendship Elementary School","Hall County","Urban","E",-7.83,-16.66,69.31,63.51,52.65,55.68,0,0,0,0,54.54,47.73,55.59,50.99,49.19,48.39,76.27,69.99,29.07,34.48,0,0,0,0,0,0,37.5,39.92,34.81,36.7,60.7,65.73,35.71,37.76,"Hall County",8,22,13,0,43,0.813953488372093,691,16.0697674418605,53.1,8.5,46.3,"Hall County",90677,66339.66,65643.25,52.2,37.5,10.3,1,5502742.88,10439.669921875,28.5,12.4,11.2,1,-7.83
"669","Fulton Academy of Science and Technology","Fulton County","Urban","E",-3.59,-1.51,90.01,99.09,88.5,95.5,0,0,93.34,100,74.34,79.73,73.91,65.22,0,0,98.24,100,67.5,80,0,0,0,0,73.68,76.32,0,0,0,0,82.22,90,0,0,"Fulton County",25,15,1,0,41,0.390243902439024,624,15.219512195122,32.7,17.8,0.8,"Fulton County",86500,44608.85,55000,73.7,20.4,5.9,1,6102182.48,10296.08984375,3.90000009536743,4.7,35,1,-3.59
"670","Fulton Leadership Academy","State Charter Schools II- Fulton Leadership Academy","","H",-12.07,-11.87,49.37,38.51,37.5,26.44,0,0,0,0,47.75,37.75,49.37,38.51,0,0,0,0,20.37,18.52,0,0,0,0,36.18,25.89,33.04,22.45,0,0,0,0,6.25,0,"State Charter Schools II- Fulton Leadership Academy",11,12,1,0,24,0.541666666666667,304,12.6666666666667,0,96.4,51.6,"State Charter Schools II- Fulton Leadership Academy",77000,37576.54,36632,61.2,19.7,19.1,1,3727075,12986.3203125,42.5,9.4,9.1,NA,-12.07
"671","Funston Elementary School","Colquitt County","Rural","E",-0.88000000000001,-0.580000000000005,47.88,72.23,47.3,71.35,0,0,0,0,10.53,31.58,47.88,72.23,47.73,81.83,60.35,67.25,14.52,32.27,0,0,0,0,31.82,40.91,47.3,71.35,48.02,77.22,50.93,72.23,12.5,37.5,"Colquitt County",14,20,9,1,44,0.681818181818182,384,8.72727272727273,29.2,11.7,100,"Colquitt County",78940.92,53032.07,59670.25,53.1,35.4,11.5,1,3716964.83,11887.73046875,64.0999984741211,9.7,4.4,0,-0.88000000000001
"672","Furlow Charter School","Sumter County","Rural","E",-28.93,-12.72,52.73,58.93,40.01,30,0,0,0,0,40.92,45.47,52.73,58.93,42.5,45,56.09,63.51,0,0,0,0,0,0,43.75,25,40.01,30,27.09,18.75,43.75,35.16,0,0,"State Charter Schools II- Furlow Charter School",19,15,6,0,40,0.525,601,15.025,60.4,16.6,100,"State Charter Schools II- Furlow Charter School",93744.33,49014.96,51772.92,51.2,31.9,16.8,1,4938588.54,8529.509765625,36.2999992370605,9.8,9.5,0,-28.93
"673","Futral Road Elementary School","Griffin-Spalding County","Urban","E",-31.53,-27.35,70.95,81.52,43.6,49.99,0,0,0,0,55.41,69.61,56.88,69.46,66,70,77.6,87.93,29.73,37.84,0,0,0,0,25.01,37.85,33.79,42.28,23.68,36.85,52.8,57.2,12,14,"Griffin-Spalding County",16,18,9,1,44,0.636363636363636,630,14.3181818181818,58.7,23.2,55.2,"Griffin-Spalding County",100876,61098.63,74314.01,54.6,33.2,12.2,1,4502979.97,11383.4404296875,40.0999984741211,22,NA,1,-31.53
"674","G. O. Bailey Elementary School","Tift County","Rural","E",-9.47,-14.09,70.31,78.13,56.22,68.66,0,0,0,0,55.26,67.77,70.31,78.13,61.2,70.9,94,96.67,25.02,36.38,0,0,0,0,46.49,57.89,56.22,68.66,50.01,68.85,69.66,75.42,37.5,45,"Tift County",18,16,3,0,37,0.513513513513513,483,13.0540540540541,37.7,28.8,100,"Tift County",76048.63,52751.53,56995.38,27.3,36.4,36.2,1,3724281.51,10349.6796875,45.4000015258789,8.6,10.5,0,-9.47
"675","Gadsden Elementary School","Savannah-Chatham County","Urban","E",-19.58,-15.17,31.84,45.51,16.67,25.93,0,0,0,0,30.69,44.6,31.25,44.89,0,0,0,0,12.51,21.9,0,0,0,0,16.26,25.63,13.58,23.71,0,0,0,0,0,0,"Savannah-Chatham County",10,12,6,2,30,0.666666666666667,475,15.8333333333333,1.3,96.8,95.8,"Savannah-Chatham County",100355.5,58192.79,71556.67,49.3,25.9,24.8,1,4397509.26,13224.6796875,90.4000015258789,9.8,7.7,1,-19.58
"676","Gaines Elementary School","Clarke County","Urban","E",-15.68,-12.06,29.92,32.53,17.86,16.85,0,0,0,0,23.06,28.9,29.92,32.53,56.9,39.66,0,0,15.74,21.3,0,0,0,0,12.69,10.3,17.86,16.85,32,34,0,0,18.43,22.37,"Clarke County",20,30,6,1,57,0.649122807017544,533,9.35087719298246,6.4,73.4,100,"Clarke County",99870.46,53860.49,54309.25,29.5,26.8,43.7,1,6517807.61,16518.73046875,72.1999969482422,19.9,10.8,1,-15.68
"677","Gainesville Exploration Academy","Gainesville City","","E",-9.99,-14.11,49.85,55.97,35.74,45.98,0,0,63.33,86.68,40.48,45.24,49.85,55.97,48.31,54.13,0,0,16.22,29.74,0,0,0,0,38.34,41.67,35.74,45.98,34.29,45.82,0,0,9.68,19.36,"Gainesville City",16,14,13,0,43,0.627906976744186,569,13.2325581395349,6.2,13.9,100,"Gainesville City",89330.5,59748.22,78058.99,56.4,31.6,12,1,5483014.8,12277.1201171875,37.5999984741211,15.4,0.8,NA,-9.99
"678","Gainesville High School","Gainesville City","","H",-25.55,-8.21,58.53,56.86,50.32,31.31,0,0,84.05,98.73,48.54,39.71,58.53,56.86,52.83,50.57,85.06,91.13,28.86,28.36,0,0,73.81,71.05,36.11,15.01,50.32,31.31,45.92,28.86,85.35,51.85,26.78,23.41,"Gainesville City",47,46,28,4,125,0.624,2373,18.984,14.3,17.2,100,"Gainesville City",101198.71,60518.23,73000.94,34.3,26.1,39.6,1,17729634.58,9820.099609375,25,13.2,9.3,NA,-25.55
"679","Gainesville Middle School","Gainesville City","","M",-5.33,2.56,45.09,48.43,47.65,43.1,0,0,75,91.94,35.4,36.81,45.09,48.43,38.9,43.02,79.65,78.16,18.1,26.41,0,0,81.16,86.24,35.94,29.03,47.65,43.1,43.62,38.82,74.7,72.36,18.09,19.79,"Gainesville City",56,42,17,2,117,0.521367521367521,1939,16.5726495726496,11.5,18.2,100,"Gainesville City",99452.53,55096.49,75785.49,51.6,29.3,19.1,1,NA,NA,35.5999984741211,12.6,9.8,NA,-5.33
"680","Garden City Elementary School","Savannah-Chatham County","Urban","E",-54.32,-25.73,62.5,80.79,36.77,26.47,0,0,0,0,52.04,69.39,61.87,80.3,64.61,86.15,70,76,0,0,0,0,0,0,0,0,38.64,18.19,39.13,26.09,0,0,0,0,"Savannah-Chatham County",10,19,6,0,35,0.714285714285714,412,11.7714285714286,7.8,24.8,67.7,"Savannah-Chatham County",101601,60635.86,66234.75,64.8,27.4,7.8,1,4693734.3,16138.650390625,47.9000015258789,20.1,17.1,1,-54.32
"681","Garden Hills Elementary School","Atlanta Public Schools","","E",-23.7,-12.88,73.2,74.1,60.32,50.4,0,0,0,0,73.91,78.27,58.92,61.47,57.69,58.84,100,100,25,27.38,0,0,0,0,70.59,61.76,34.94,29.46,30.14,25,0,89.48,34.38,28.13,"Atlanta Public Schools",17,16,8,3,44,0.613636363636364,462,10.5,21.2,30.3,48.1,"Atlanta Public Schools",108790,65876.45,76825.28,58,25.1,16.9,1,5353613.67,18410.240234375,36.5,14.2,11.6,NA,-23.7
"682","Garden Lakes Elementary School","Floyd County","Urban","E",-12.24,-18.34,76.81,79.74,58.47,67.5,0,0,0,0,68.42,73.7,76.81,79.74,78.19,75.46,78.27,81.53,51.57,60.95,0,0,0,0,35.71,50,58.47,67.5,62.93,63.79,61.11,72.07,39.8,45.92,"Floyd County",17,14,11,0,42,0.595238095238095,667,15.8809523809524,60.9,11.1,100,"Floyd County",92214.8,57409.64,68472.66,56.8,36,7.2,1,4880676.06,10003.2802734375,40.5,12.8,11,1,-12.24
"683","Gardner-Newman Middle School","Troup County","Rural","M",-9.03,-3.54,53.42,55.29,49.88,46.26,0,0,87.5,100,35.49,36.79,41.63,42.74,55.64,55.06,74.79,74.86,30.11,32.05,0,0,98.15,0,28.22,22.31,34.89,32.07,48,48,73.97,69.83,23.37,23.64,"Troup County",18,39,7,0,64,0.71875,1076,16.8125,35.4,44.9,56.1,"Troup County",94116.2,54797.77,63539.38,54.6,33,12.5,1,7159049.52,9040.3701171875,44.4000015258789,10.6,17.1,0,-9.03
"684","Garrett Elementary School","Richmond County","Urban","E",-15.22,-9.71,42.86,53.29,33.15,38.07,0,0,0,0,38.27,49.49,42.86,53.29,50,52.65,48.88,62.22,15.48,27.39,0,0,0,0,25,28.19,33.15,38.07,0,0,58.33,62.5,15,23.69,"Richmond County",11,14,5,0,30,0.633333333333333,304,10.1333333333333,24.7,61.2,100,"Richmond County",96241,60350.31,72083.67,48.4,32.6,19.1,1,3356334.09,15422.33984375,50.4000015258789,32.5,5.1,1,-15.22
